date,realtime_end,realtime_start,value
1973-12-01,2019-09-15,2019-09-15,46.3
1974-01-01,2019-09-15,2019-09-15,46.8
1974-02-01,2019-09-15,2019-09-15,47.3
1974-03-01,2019-09-15,2019-09-15,47.8
1974-04-01,2019-09-15,2019-09-15,48.1
1974-05-01,2019-09-15,2019-09-15,48.6
1974-06-01,2019-09-15,2019-09-15,49.0
1974-07-01,2019-09-15,2019-09-15,49.3
1974-08-01,2019-09-15,2019-09-15,49.9
1974-09-01,2019-09-15,2019-09-15,50.6
1974-10-01,2019-09-15,2019-09-15,51.0
1974-11-01,2019-09-15,2019-09-15,51.5
1974-12-01,2019-09-15,2019-09-15,51.9
1975-01-01,2019-09-15,2019-09-15,52.3
1975-02-01,2019-09-15,2019-09-15,52.6
1975-03-01,2019-09-15,2019-09-15,52.8
1975-04-01,2019-09-15,2019-09-15,53.0
1975-05-01,2019-09-15,2019-09-15,53.1
1975-06-01,2019-09-15,2019-09-15,53.5
1975-07-01,2019-09-15,2019-09-15,54.0
1975-08-01,2019-09-15,2019-09-15,54.2
1975-09-01,2019-09-15,2019-09-15,54.6
1975-10-01,2019-09-15,2019-09-15,54.9
1975-11-01,2019-09-15,2019-09-15,55.3
1975-12-01,2019-09-15,2019-09-15,55.6
1976-01-01,2019-09-15,2019-09-15,55.8
1976-02-01,2019-09-15,2019-09-15,55.9
1976-03-01,2019-09-15,2019-09-15,56.0
1976-04-01,2019-09-15,2019-09-15,56.1
1976-05-01,2019-09-15,2019-09-15,56.4
1976-06-01,2019-09-15,2019-09-15,56.7
1976-07-01,2019-09-15,2019-09-15,57.0
1976-08-01,2019-09-15,2019-09-15,57.3
1976-09-01,2019-09-15,2019-09-15,57.6
1976-10-01,2019-09-15,2019-09-15,57.9
1976-11-01,2019-09-15,2019-09-15,58.1
1976-12-01,2019-09-15,2019-09-15,58.4
1977-01-01,2019-09-15,2019-09-15,58.7
1977-02-01,2019-09-15,2019-09-15,59.3
1977-03-01,2019-09-15,2019-09-15,59.6
1977-04-01,2019-09-15,2019-09-15,60.0
1977-05-01,2019-09-15,2019-09-15,60.2
1977-06-01,2019-09-15,2019-09-15,60.5
1977-07-01,2019-09-15,2019-09-15,60.8
1977-08-01,2019-09-15,2019-09-15,61.1
1977-09-01,2019-09-15,2019-09-15,61.3
1977-10-01,2019-09-15,2019-09-15,61.6
1977-11-01,2019-09-15,2019-09-15,62.0
1977-12-01,2019-09-15,2019-09-15,62.3
1978-01-01,2019-09-15,2019-09-15,62.7
1978-02-01,2019-09-15,2019-09-15,63.0
1978-03-01,2019-09-15,2019-09-15,63.4
1978-04-01,2019-09-15,2019-09-15,63.9
1978-05-01,2019-09-15,2019-09-15,64.5
1978-06-01,2019-09-15,2019-09-15,65.0
1978-07-01,2019-09-15,2019-09-15,65.5
1978-08-01,2019-09-15,2019-09-15,65.9
1978-09-01,2019-09-15,2019-09-15,66.5
