date,realtime_end,realtime_start,value
1980-03-26,2019-09-15,2019-09-15,
1980-03-27,2019-09-15,2019-09-15,
1980-03-28,2019-09-15,2019-09-15,
1980-03-31,2019-09-15,2019-09-15,151.41
1980-04-01,2019-09-15,2019-09-15,
1980-04-02,2019-09-15,2019-09-15,
1980-04-03,2019-09-15,2019-09-15,
1980-04-04,2019-09-15,2019-09-15,
1980-04-07,2019-09-15,2019-09-15,
1980-04-08,2019-09-15,2019-09-15,
1980-04-09,2019-09-15,2019-09-15,
1980-04-10,2019-09-15,2019-09-15,
1980-04-11,2019-09-15,2019-09-15,
1980-04-14,2019-09-15,2019-09-15,
1980-04-15,2019-09-15,2019-09-15,
1980-04-16,2019-09-15,2019-09-15,
1980-04-17,2019-09-15,2019-09-15,
1980-04-18,2019-09-15,2019-09-15,
1980-04-21,2019-09-15,2019-09-15,
1980-04-22,2019-09-15,2019-09-15,
1980-04-23,2019-09-15,2019-09-15,
1980-04-24,2019-09-15,2019-09-15,
1980-04-25,2019-09-15,2019-09-15,
1980-04-28,2019-09-15,2019-09-15,
1980-04-29,2019-09-15,2019-09-15,
1980-04-30,2019-09-15,2019-09-15,159.79
1980-05-01,2019-09-15,2019-09-15,
1980-05-02,2019-09-15,2019-09-15,
1980-05-05,2019-09-15,2019-09-15,
1980-05-06,2019-09-15,2019-09-15,
1980-05-07,2019-09-15,2019-09-15,
1980-05-08,2019-09-15,2019-09-15,
1980-05-09,2019-09-15,2019-09-15,
1980-05-12,2019-09-15,2019-09-15,
1980-05-13,2019-09-15,2019-09-15,
1980-05-14,2019-09-15,2019-09-15,
1980-05-15,2019-09-15,2019-09-15,
1980-05-16,2019-09-15,2019-09-15,
1980-05-19,2019-09-15,2019-09-15,
1980-05-20,2019-09-15,2019-09-15,
1980-05-21,2019-09-15,2019-09-15,
1980-05-22,2019-09-15,2019-09-15,
1980-05-23,2019-09-15,2019-09-15,
1980-05-26,2019-09-15,2019-09-15,
1980-05-27,2019-09-15,2019-09-15,
1980-05-28,2019-09-15,2019-09-15,
