rebal_int,top_n,SMA_S,SMA_L,stop,rolling_l,rolling_m,rolling_s,tot_ret,cagr,sharpe,perf_score,max_dd,stats_file
3,"(25, 20, 3)",9,139,25,34,16,8,33.73,0.33,7.65,258.03,-0.22,M_nasdaq100_stats_2023.06.04.141803.csv
3,"(25, 20, 3)",9,139,29,34,16,8,34.04,0.33,7.58,258.02,-0.22,M_nasdaq100_stats_2023.06.04.141803.csv
3,"(25, 20, 3)",9,139,30,34,16,8,33.48,0.33,7.55,252.77,-0.24,M_nasdaq100_stats_2023.06.04.141803.csv
1,"(25, 20, 3)",9,139,80,16,11,1,43.8,0.64,5.77,252.73,-0.37,M_nasdaq100_stats_2023.06.02.172427.csv
1,"(25, 20, 9)",9,139,80,34,16,8,36.76,0.6,6.84,251.44,-0.41,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 9)",9,139,80,34,16,8,36.76,0.6,6.84,251.44,-0.41,M_nasdaq100_stats_2023.06.02.190501.csv
1,"(25, 20, 5)",23,139,80,34,16,8,39.73,0.62,6.28,249.5,-0.49,M_nasdaq100_stats_2023.06.02.192101.csv
3,"(25, 20, 3)",9,139,26,34,16,8,33.07,0.33,7.5,248.02,-0.22,M_nasdaq100_stats_2023.06.04.141803.csv
3,"(25, 20, 3)",9,139,24,34,16,8,32.39,0.32,7.57,245.19,-0.2,M_nasdaq100_stats_2023.06.04.141803.csv
3,"(25, 20, 3)",9,139,21,34,16,8,31.86,0.32,7.59,241.82,-0.29,M_nasdaq100_stats_2023.06.04.142408.csv
3,"(25, 20, 3)",9,139,21,34,16,8,31.86,0.32,7.59,241.82,-0.29,M_nasdaq100_stats_2023.06.04.141803.csv
1,"(25, 20, 5)",9,139,80,34,16,6,38.8,0.62,6.21,240.95,-0.51,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,18,34,16,8,32.12,0.32,7.48,240.26,-0.27,M_nasdaq100_stats_2023.06.04.141803.csv
1,"(25, 20, 8)",9,139,80,34,16,9,36.3,0.6,6.59,239.22,-0.39,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,10,9,35.28,0.6,6.62,233.55,-0.39,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,10,9,35.28,0.6,6.62,233.55,-0.39,M_nasdaq100_stats_2023.06.02.181345.csv
1,"(25, 20, 8)",9,139,80,16,9,9,35.18,0.6,6.61,232.54,-0.39,M_nasdaq100_stats_2023.06.02.181345.csv
1,"(25, 20, 8)",9,139,80,16,9,9,35.18,0.6,6.61,232.54,-0.39,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,16,8,34.9,0.59,6.6,230.34,-0.41,M_nasdaq100_stats_2023.06.02.181345.csv
1,"(25, 20, 8)",9,139,80,16,16,8,34.9,0.59,6.6,230.34,-0.41,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 5)",9,139,80,49,16,9,37.06,0.61,6.21,230.14,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,31,34,16,8,31.08,0.32,7.39,229.68,-0.28,M_nasdaq100_stats_2023.06.04.142408.csv
1,"(25, 20, 8)",9,139,80,16,15,9,34.86,0.59,6.58,229.38,-0.4,M_nasdaq100_stats_2023.06.02.181345.csv
1,"(25, 20, 8)",9,139,80,16,15,9,34.86,0.59,6.58,229.38,-0.4,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 5)",9,139,80,50,16,9,37.0,0.61,6.18,228.66,-0.46,M_nasdaq100_stats_2023.06.02.184410.csv
3,"(25, 20, 3)",9,139,17,34,16,8,30.65,0.32,7.34,224.97,-0.26,M_nasdaq100_stats_2023.06.04.141803.csv
1,"(25, 20, 8)",9,139,80,16,16,7,34.22,0.59,6.57,224.83,-0.43,M_nasdaq100_stats_2023.06.02.181345.csv
1,"(25, 20, 8)",9,139,80,16,16,7,34.22,0.59,6.57,224.83,-0.43,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,16,10,34.29,0.59,6.5,222.88,-0.4,M_nasdaq100_stats_2023.06.02.181345.csv
1,"(25, 20, 8)",9,139,80,16,16,10,34.29,0.59,6.5,222.88,-0.4,M_nasdaq100_stats_2023.06.02.182610.csv
3,"(25, 20, 7)",9,139,60,34,16,8,26.29,0.3,8.33,219.0,-0.24,M_nasdaq100_stats_2023.06.04.133243.csv
10,"(25, 20, 3)",9,139,40,34,16,8,22.94,0.31,9.31,213.57,-0.42,M_nasdaq100_stats_2023.06.04.143238.csv
3,"(25, 20, 3)",9,139,32,34,16,8,29.12,0.31,7.31,212.87,-0.27,M_nasdaq100_stats_2023.06.04.141803.csv
6,"(25, 20, 3)",9,139,40,34,16,8,24.03,0.31,8.64,207.62,-0.3,M_nasdaq100_stats_2023.06.04.143238.csv
1,"(25, 20, 5)",9,139,80,37,16,6,33.87,0.59,6.05,204.91,-0.51,M_nasdaq100_stats_2023.06.02.184410.csv
1,"(25, 20, 8)",9,139,80,28,16,9,30.82,0.57,6.58,202.8,-0.4,M_nasdaq100_stats_2023.06.02.182610.csv
9,"(25, 20, 3)",9,139,40,34,16,8,18.3,0.28,11.04,202.03,-0.29,M_nasdaq100_stats_2023.06.04.143238.csv
1,"(25, 20, 10)",9,139,80,34,16,8,29.96,0.56,6.73,201.63,-0.38,M_nasdaq100_stats_2023.06.02.192101.csv
1,"(25, 20, 10)",9,139,80,34,16,8,29.96,0.56,6.73,201.63,-0.38,M_nasdaq100_stats_2023.06.02.190501.csv
1,"(25, 20, 8)",9,139,80,33,16,9,31.89,0.58,6.29,200.59,-0.39,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,23,16,9,30.13,0.56,6.52,196.45,-0.38,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,11,9,30.54,0.57,6.4,195.46,-0.39,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,11,9,30.54,0.57,6.4,195.46,-0.39,M_nasdaq100_stats_2023.06.02.181345.csv
1,"(25, 20, 8)",9,139,80,29,16,9,30.14,0.57,6.48,195.31,-0.41,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,13,9,30.33,0.57,6.43,195.02,-0.38,M_nasdaq100_stats_2023.06.02.182610.csv
1,"(25, 20, 8)",9,139,80,16,13,9,30.33,0.57,6.43,195.02,-0.38,M_nasdaq100_stats_2023.06.02.181345.csv
3,"(25, 20, 3)",9,139,33,34,16,8,26.66,0.3,7.24,193.02,-0.27,M_nasdaq100_stats_2023.06.04.141803.csv
